MRPExceptionMessageID,Material,Plant,MRPElement,MRPElementItem,MRPExceptionNumber,MRPExceptionText,MRPElementDate,MRPReschedulingDate,CreationDateTime
0000000001,MAT-48219,1010,4500001234,10,10,Bring process forward,{T0},{T0-5d},{T0-6h}
0000000002,MAT-51002,1010,4500001240,10,10,Bring process forward,{T0+1d},{T0-4d},{T0-6h}
0000000003,MAT-33871,1010,4500001251,10,10,Bring process forward,{T0+2d},{T0-3d},{T0-6h}
0000000004,MAT-20114,1010,4500001262,10,10,Bring process forward,{T0+1d},{T0-5d},{T0-6h}
0000000005,MAT-60417,1010,4500001273,10,10,Bring process forward,{T0+3d},{T0-2d},{T0-6h}
0000000006,MAT-72055,1010,4500001284,10,10,Bring process forward,{T0+5d},{T0-1d},{T0-6h}
0000000007,MAT-91024,1010,4500002006,10,15,Postpone process,{T0+20d},{T0+35d},{T0-6h}
0000000008,MAT-91038,1010,4500002007,10,10,Bring process forward,{T0+5d},{T0+4d},{T0-6h}
0000000009,MAT-91038,1010,4500002008,10,10,Bring process forward,{T0+2d},{T0},{T0-6h}
0000000010,MAT-91039,1010,4500002009,10,10,Bring process forward,{T0+14d},{T0+13d},{T0-6h}
0000000011,MAT-91037,1010,4500002010,10,15,Postpone process,{T0+10d},{T0+12d},{T0-6h}
0000000012,MAT-91037,1010,4500002011,10,15,Postpone process,{T0+5d},{T0+20d},{T0-6h}
0000000013,MAT-91013,1010,4500002012,10,10,Bring process forward,{T0+11d},{T0+9d},{T0-6h}
0000000014,MAT-91018,1010,4500002013,10,15,Postpone process,{T0+21d},{T0+30d},{T0-6h}
0000000015,MAT-91035,1010,4500002014,10,15,Postpone process,{T0+11d},{T0+25d},{T0-6h}
0000000016,MAT-91004,1010,4500002015,10,10,Bring process forward,{T0+9d},{T0+7d},{T0-6h}
0000000017,MAT-91015,1020,4500002016,10,15,Postpone process,{T0+17d},{T0+19d},{T0-6h}
0000000018,MAT-91017,1010,4500002017,10,10,Bring process forward,{T0+21d},{T0+20d},{T0-6h}
0000000019,MAT-91024,1020,4500002018,10,10,Bring process forward,{T0+17d},{T0+16d},{T0-6h}
0000000020,MAT-91003,1010,4500002019,10,10,Bring process forward,{T0+3d},{T0+2d},{T0-6h}
0000000021,MAT-91003,1010,4500002020,10,10,Bring process forward,{T0+6d},{T0+5d},{T0-6h}
0000000022,MAT-91030,1010,4500002021,10,15,Postpone process,{T0+4d},{T0+10d},{T0-6h}
0000000023,MAT-91026,1020,4500002022,10,10,Bring process forward,{T0+4d},{T0+3d},{T0-6h}
