MaterialDocumentYear,MaterialDocument,MaterialDocumentItem,Material,Plant,StorageLocation,GoodsMovementType,PurchaseOrder,PurchaseOrderItem,MaterialBaseUnit,QuantityInBaseUnit,EntryUnit,QuantityInEntryUnit
2026,5100000001,1,MAT-48219,1010,101A,101,4500003000,10,PC,100,PC,100
2026,5100000002,1,MAT-48219,1010,101A,101,4500003001,10,PC,100,PC,100
2026,5100000003,1,MAT-48219,1010,101A,101,4500003002,10,PC,100,PC,100
2026,5100000004,1,MAT-48219,1010,101A,101,4500003003,10,PC,50,PC,50
2026,5100000005,1,MAT-48219,1010,101A,101,4500003003,10,PC,50,PC,50
2026,5100000006,1,MAT-48219,1010,101A,101,4500003004,10,PC,100,PC,100
2026,5100000007,1,MAT-48219,1010,101A,101,4500003005,10,PC,100,PC,100
2026,5100000008,1,MAT-48219,1010,101A,101,4500003006,10,PC,100,PC,100
2026,5100000009,1,MAT-48219,1010,101A,101,4500003007,10,PC,50,PC,50
2026,5100000010,1,MAT-48219,1010,101A,101,4500003007,10,PC,50,PC,50
2026,5100000011,1,MAT-48219,1010,101A,101,4500003008,10,PC,100,PC,100
2026,5100000012,1,MAT-48219,1010,101A,101,4500003009,10,PC,100,PC,100
2026,5100000013,1,MAT-48219,1010,101A,101,4500003010,10,PC,100,PC,100
2026,5100000014,1,MAT-48219,1010,101A,101,4500003011,10,PC,50,PC,50
2026,5100000015,1,MAT-48219,1010,101A,101,4500003011,10,PC,50,PC,50
