PurchaseOrder,CompanyCode,PurchaseOrderType,PurchasingProcessingStatus,CreationDate,Supplier,PurchasingOrganization,PurchasingGroup,PurchaseOrderDate,DocumentCurrency,SupplyingPlant
4500001234,1010,NB,05,{T0-30d},1000234,1010,001,{T0-30d},USD,
4500001240,1010,NB,05,{T0-28d},1000234,1010,001,{T0-28d},USD,
4500001251,1010,NB,05,{T0-25d},1000871,1010,001,{T0-25d},USD,
4500001262,1010,NB,05,{T0-21d},1000234,1010,001,{T0-21d},USD,
4500001273,1010,NB,05,{T0-20d},1000871,1010,001,{T0-20d},USD,
4500001284,1010,NB,05,{T0-18d},1000234,1010,001,{T0-18d},USD,
4500003000,1010,NB,05,{T0-21d},1000234,1010,001,{T0-21d},USD,
4500003001,1010,NB,05,{T0-35d},1000234,1010,001,{T0-35d},USD,
4500003002,1010,NB,05,{T0-49d},1000234,1010,001,{T0-49d},USD,
4500003003,1010,NB,05,{T0-63d},1000234,1010,001,{T0-63d},USD,
4500003004,1010,NB,05,{T0-77d},1000234,1010,001,{T0-77d},USD,
4500003005,1010,NB,05,{T0-91d},1000234,1010,001,{T0-91d},USD,
4500003006,1010,NB,05,{T0-105d},1000234,1010,001,{T0-105d},USD,
4500003007,1010,NB,05,{T0-119d},1000234,1010,001,{T0-119d},USD,
4500003008,1010,NB,05,{T0-133d},1000234,1010,001,{T0-133d},USD,
4500003009,1010,NB,05,{T0-147d},1000234,1010,001,{T0-147d},USD,
4500003010,1010,NB,05,{T0-161d},1000234,1010,001,{T0-161d},USD,
4500003011,1010,NB,05,{T0-175d},1000234,1010,001,{T0-175d},USD,
