PurchasingDocument,PurchasingDocumentItem,ScheduleLine,DelivDateCategory,ScheduleLineDeliveryDate,PurchaseOrderQuantityUnit,ScheduleLineOrderQuantity,ScheduleLineDeliveryTime,ScheduleLineCommittedQuantity
4500001234,10,1,1,{T0},PC,1600,{T0},1600
4500001240,10,1,1,{T0+1d},PC,800,{T0+1d},800
4500001251,10,1,1,{T0+2d},PC,300,{T0+2d},300
4500001262,10,1,1,{T0+1d},PC,400,{T0+1d},400
4500001273,10,1,1,{T0+3d},PC,250,{T0+3d},250
4500001284,10,1,1,{T0+5d},PC,1500,{T0+5d},1500
4500003000,10,1,1,{T0-14d},PC,100,{T0-14d},100
4500003001,10,1,1,{T0-28d},PC,100,{T0-28d},100
4500003002,10,1,1,{T0-42d},PC,100,{T0-42d},100
4500003003,10,1,1,{T0-56d},PC,100,{T0-56d},100
4500003004,10,1,1,{T0-70d},PC,100,{T0-70d},100
4500003005,10,1,1,{T0-84d},PC,100,{T0-84d},100
4500003006,10,1,1,{T0-98d},PC,100,{T0-98d},100
4500003007,10,1,1,{T0-112d},PC,100,{T0-112d},100
4500003008,10,1,1,{T0-126d},PC,100,{T0-126d},100
4500003009,10,1,1,{T0-140d},PC,100,{T0-140d},100
4500003010,10,1,1,{T0-154d},PC,100,{T0-154d},100
4500003011,10,1,1,{T0-168d},PC,100,{T0-168d},100
