SalesOrder,SalesOrderType,SoldToParty,CreationDate,SalesOrderDate,TotalNetAmount,TransactionCurrency,RequestedDeliveryDate,CustomerGroup
2000451,OR,3000101,{T0-20d},{T0-20d},400000,USD,{T0+1d},01
2000452,OR,3000102,{T0-19d},{T0-19d},400000,USD,{T0+1d},01
2000453,OR,3000103,{T0-18d},{T0-18d},360000,USD,{T0+1d},01
2000454,OR,3000104,{T0-17d},{T0-17d},360000,USD,{T0+2d},01
2000455,OR,3000105,{T0-16d},{T0-16d},360000,USD,{T0+2d},01
2000456,OR,3000106,{T0-15d},{T0-15d},360000,USD,{T0+2d},01
2000457,OR,3000107,{T0-14d},{T0-14d},320000,USD,{T0+2d},01
2000458,OR,3000201,{T0-25d},{T0-25d},800000,USD,{T0+1d},02
2000459,OR,3000202,{T0-24d},{T0-24d},720000,USD,{T0+2d},02
2000460,OR,3000203,{T0-23d},{T0-23d},640000,USD,{T0+2d},02
2000470,OR,3000301,{T0-12d},{T0-12d},225000,USD,{T0+3d},03
2000471,OR,3000302,{T0-11d},{T0-11d},375000,USD,{T0+3d},03
2000480,OR,3000303,{T0-10d},{T0-10d},350000,USD,{T0+5d},03
2000490,OR,3000304,{T0-9d},{T0-9d},180000,USD,{T0+2d},03
2000500,OR,3000305,{T0-8d},{T0-8d},100000,USD,{T0+6d},03
2000510,OR,3000306,{T0-7d},{T0-7d},50000,USD,{T0+12d},03
