SalesOrder,SalesOrderItem,SalesOrderItemText,Material,RequestedQuantity,RequestedQuantityUnit,TransactionCurrency,NetAmount,ProductionPlant
2000451,10,Sedan Line 2,VEH-SEDAN-L2,20,PC,USD,400000,1010
2000452,10,Sedan Line 2,VEH-SEDAN-L2,20,PC,USD,400000,1010
2000453,10,Sedan Line 2,VEH-SEDAN-L2,18,PC,USD,360000,1010
2000454,10,Sedan Line 2,VEH-SEDAN-L2,18,PC,USD,360000,1010
2000455,10,Sedan Line 2,VEH-SEDAN-L2,18,PC,USD,360000,1010
2000456,10,Sedan Line 2,VEH-SEDAN-L2,18,PC,USD,360000,1010
2000457,10,Sedan Line 2,VEH-SEDAN-L2,16,PC,USD,320000,1010
2000458,10,Sedan Line 2 fleet,VEH-SEDAN-L2,40,PC,USD,800000,1010
2000459,10,Sedan Line 2 fleet,VEH-SEDAN-L2,36,PC,USD,720000,1010
2000460,10,Sedan Line 2 fleet,VEH-SEDAN-L2,32,PC,USD,640000,1010
2000470,10,Brake disc front,MAT-51002,150,PC,USD,225000,1010
2000471,10,Brake disc front,MAT-51002,250,PC,USD,375000,1010
2000480,10,Wiring harness main,MAT-33871,100,PC,USD,350000,1010
2000490,10,Seat frame rear,MAT-20114,90,PC,USD,180000,1010
2000500,10,Fuel pump module,MAT-60417,40,PC,USD,100000,1010
2000510,10,Door hinge set,MAT-72055,200,PC,USD,50000,1010
